latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
19.81456,97.80925,306.31,1.18,1.08,2026-03-04,0249,T,59,6.1NRT,294.94,6.47,D
20.17643,94.63314,314.99,1.01,1.01,2026-03-04,0249,T,68,6.1NRT,301.46,5.45,D
19.76143,97.39499,310.74,1.13,1.06,2026-03-04,0249,T,67,6.1NRT,296.38,7.66,D
20.03389,95.05235,326.53,1,1,2026-03-04,0249,T,81,6.1NRT,302.08,16.49,D
19.61852,97.65768,306.12,1.16,1.07,2026-03-04,0249,T,58,6.1NRT,293.68,6.33,D
19.54217,97.43143,309.57,1.14,1.06,2026-03-04,0249,T,65,6.1NRT,296.36,7.66,D
19.78045,95.73524,310.13,1.01,1,2026-03-04,0249,T,44,6.1NRT,299.19,4.31,D
19.77167,95.73384,314.74,1.01,1,2026-03-04,0249,T,67,6.1NRT,298.84,7.87,D
19.84438,95.08612,321.69,1,1,2026-03-04,0249,T,76,6.1NRT,302.67,12.05,D
19.74293,95.66617,316.89,1.01,1,2026-03-04,0249,T,71,6.1NRT,301.48,8.29,D
19.49064,96.37979,315.68,1.04,1.02,2026-03-04,0249,T,71,6.1NRT,300.88,6.97,D
19.48921,96.3893,321.84,1.04,1.02,2026-03-04,0249,T,78,6.1NRT,300.15,13.3,D
19.67882,95.03507,312.44,1,1,2026-03-04,0249,T,61,6.1NRT,300.96,4.26,D
19.68929,94.6235,311.67,1.01,1,2026-03-04,0249,T,60,6.1NRT,299.93,4.47,D
19.43536,96.37461,312.22,1.04,1.02,2026-03-04,0249,T,65,6.1NRT,299.97,4.82,D
19.65511,94.6753,312.85,1.01,1,2026-03-04,0249,T,63,6.1NRT,300.28,4.95,D
19.21169,97.29762,314.78,1.13,1.06,2026-03-04,0249,T,73,6.1NRT,296.44,11.07,D
19.46155,95.26249,315.6,1,1,2026-03-04,0249,T,69,6.1NRT,302.83,6.08,D
19.23142,96.745,304.04,1.07,1.03,2026-03-04,0249,T,35,6.1NRT,292.25,5.02,D
18.43181,101.45747,309.12,2.2,1.44,2026-03-04,0249,T,60,6.1NRT,296.36,14.35,D
19.38913,95.43375,311.69,1,1,2026-03-04,0249,T,63,6.1NRT,301.06,4.28,D
18.65188,100.11476,314.8,1.73,1.29,2026-03-04,0249,T,72,6.1NRT,295.83,23.85,D
19.47316,94.72025,313.66,1,1,2026-03-04,0249,T,66,6.1NRT,299.85,6.54,D
19.22216,96.25903,312.82,1.04,1.02,2026-03-04,0249,T,66,6.1NRT,299.82,6.72,D
19.37463,95.14211,312.61,1,1,2026-03-04,0249,T,55,6.1NRT,301.74,4.12,D
19.18151,96.46171,323.04,1.05,1.02,2026-03-04,0249,T,80,6.1NRT,298.86,18.36,D
19.28501,95.51483,314.99,1,1,2026-03-04,0249,T,69,6.1NRT,303.27,5.78,D
19.07242,96.38898,318.6,1.05,1.02,2026-03-04,0249,T,75,6.1NRT,300.65,11.27,D
19.20725,94.64226,312.68,1,1,2026-03-04,0249,T,63,6.1NRT,299.04,6.89,D
19.17506,94.80687,317.84,1,1,2026-03-04,0249,T,72,6.1NRT,301.49,8.85,D
18.40675,99.17262,307.27,1.49,1.21,2026-03-04,0249,T,57,6.1NRT,295.76,8.53,D
19.0767,94.78583,310.67,1,1,2026-03-04,0249,T,59,6.1NRT,300.47,4.48,D
